广东频道,#genre#
RTHK31,https://cdn.qd.je/163189/rthk31
RTHK32,https://cdn.qd.je/163189/rthk32
TVB Drama,https://cdn.qd.je/163189/tvbd
TVB 功夫台,https://cdn.qd.je/163189/yzwx
TVB 星河台,https://cdn.qd.je/163189/tvbxh
TVB 星河台,https://cdn.qd.je/163189/xinghe
TVB 星河台,https://cdn.qd.je/163189/tvbxh2
澳视澳门,https://cdn.qd.je/163189/asam
澳视卫星,https://cdn.qd.je/163189/as
澳门体育,https://cdn.qd.je/163189/amty
澳门综艺,https://cdn.qd.je/163189/amzy
澳门莲花,https://cdn.qd.je/163189/amlh
重温经典,https://cdn.qd.je/163189/cwjd
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
八度空间,https://cdn.qd.je/163189/8tv
CH5,https://cdn.qd.je/163189/ch5
CH8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
龙华电影,https://cdn.qd.je/163189/lhdy
龙华经典,https://cdn.qd.je/163189/lhjd
龙华偶像,https://cdn.qd.je/163189/lhox
龙华日韩,https://cdn.qd.je/163189/lhrh
龙华戏剧,https://cdn.qd.je/163189/lhxj
龙华洋片,https://cdn.qd.je/163189/lhyp
龙华卡通,https://cdn.qd.je/163189/lhkt
天映频道(新加坡),https://cdn.qd.je/163189/typd
天映频道(新加坡),https://cdn.qd.je/163189/ccm
天映频道(马来西亚),https://cdn.qd.je/163189/typd2
天映频道(马来西亚),https://cdn.qd.je/163189/ccm2
采昌影剧台,https://cdn.qd.je/163189/ccyj
靖天映画,https://cdn.qd.je/163189/jtyh
靖天戏剧台,https://cdn.qd.je/163189/jtxj
靖天电影台,https://cdn.qd.je/163189/jtdy
靖洋戏剧台,https://cdn.qd.je/163189/jyxj
影迷数位电影台,https://cdn.qd.je/163189/ymswdyt
amc電影台,https://cdn.qd.je/163189/amc
CinemaWorld,https://cdn.qd.je/163189/cinemaworld
MCE,https://cdn.qd.je/163189/mce
经典电影台,https://cdn.qd.je/163189/jddyt
CMusic,https://cdn.qd.je/163189/cmusic
梦工厂动画,https://cdn.qd.je/163189/dreamworks
精选动漫台,https://cdn.qd.je/163189/jxdmt
纬来电影台,https://cdn.qd.je/163189/wldy
纬来戏剧台,https://cdn.qd.je/163189/wlxj
纬来体育台,https://cdn.qd.je/163189/wlty
龙祥时代,https://cdn.qd.je/163189/lxsd
东森电影台,https://cdn.qd.je/163189/dsdy
东森戏剧台,https://cdn.qd.je/163189/dsxj
东森洋片台,https://cdn.qd.je/163189/dsyp
CCTV5,https://cdn.qd.je/163189/cctv5
CCTV5,https://cdn.qd.je/163189/cctv5-2
CCTV5+,https://cdn.qd.je/163189/cctv5p
CCTV5+,https://cdn.qd.je/163189/cctv5p-2
CCTV13,https://cdn.qd.je/163189/cctv13
CCTV13,https://cdn.qd.je/163189/cctv13-2
CCTV16,https://cdn.qd.je/163189/cctv16
CCTV16,https://cdn.qd.je/163189/cctv16-2
五星体育,https://cdn.qd.je/163189/wxty

咪咕,#genre#
至臻视界,http://221.181.100.64/gslbserv.itv.cmvideo.cn/3000000010000015686/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=m
咪视界4K,http://221.181.100.64/gslbserv.itv.cmvideo.cn/3000000010000015686/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=m
睛彩竞技,http://192.168.10.1:8888/udp/239.11.0.183:1025
睛彩广场舞,http://192.168.10.1:8888/udp/239.11.0.184:1025
咪咕-五大联赛1,http://192.168.10.1:8888/udp/239.10.0.68:1025
咪咕-五大联赛2,http://192.168.10.1:8888/udp/239.10.0.69:1025
咪咕-高清赛事1,http://192.168.10.1:8888/udp/239.10.0.87:1025
咪咕-高清赛事2,http://192.168.10.1:8888/udp/239.10.0.88:1025
咪咕-高清赛事3,http://192.168.10.1:8888/udp/239.10.0.89:1025
咪咕-高清赛事4,http://192.168.10.1:8888/udp/239.10.0.247:1025
咪咕-高清赛事5,http://192.168.10.1:8888/udp/239.10.0.248:1025
咪咕-高清赛事6,http://192.168.10.1:8888/udp/239.10.0.249:1025
咪咕-高清赛事7,http://192.168.10.1:8888/udp/239.10.0.250:1025
咪咕-高清赛事8,http://192.168.10.1:8888/udp/239.10.0.251:1025
咪咕-高清赛事9,http://192.168.10.1:8888/udp/239.10.0.252:1025
咪咕-高清赛事10,http://192.168.10.1:8888/udp/239.11.0.1:1025
咪咕-高清赛事11,http://192.168.10.1:8888/udp/239.11.0.2:1025
咪咕-高清赛事12,http://192.168.10.1:8888/udp/239.11.0.3:1025
咪咕-高清赛事12,http://192.168.10.1:8888/udp/239.11.0.3:1025
咪咕-高清赛事13,http://192.168.10.1:8888/udp/239.11.0.4:1025
咪咕-高清赛事14,http://192.168.10.1:8888/udp/239.11.0.5:1025
咪咕-高清赛事15,http://192.168.10.1:8888/udp/239.11.0.6:1025
咪咕-高清赛事16,http://192.168.10.1:8888/udp/239.11.0.7:1025
咪咕-高清赛事17,http://192.168.10.1:8888/udp/239.11.0.8:1025
咪咕-高清赛事18,http://192.168.10.1:8888/udp/239.11.0.9:1025
咪咕-高清赛事19,http://192.168.10.1:8888/udp/239.11.0.10:1025
咪咕-高清赛事20,http://192.168.10.1:8888/udp/239.11.0.11:1025
咪咕-高清赛事21,http://192.168.10.1:8888/udp/239.11.0.12:1025
咪咕-高清赛事22,http://192.168.10.1:8888/udp/239.11.0.13:1025
咪咕-高清赛事23,http://192.168.10.1:8888/udp/239.11.0.14:1025
咪咕-高清赛事24,http://192.168.10.1:8888/udp/239.11.0.15:1025
咪咕-高清赛事25,http://192.168.10.1:8888/udp/239.11.0.18:1025
咪咕-高清赛事26,http://192.168.10.1:8888/udp/239.11.0.19:1025
咪咕-高清赛事27,http://192.168.10.1:8888/udp/239.11.0.20:1025
咪咕-高清赛事28,http://192.168.10.1:8888/udp/239.11.0.21:1025
咪咕-高清赛事29,http://192.168.10.1:8888/udp/239.11.0.22:1025
